Demand Cluster,Difficulty Cluster,Growth Cluster,ID,Lct Id,Lightcast Skill,Resilience Cluster,Skill Category,Skill Major Category,Skill MajorCategory Code,Skill MajorCategory Code (group),Skill Subcategory Name,Skill Super Category,Value Cluster,Xskill Category Name,Complexity,Complexity Norm,Demand,Demand Norm,Difficulty,Difficulty Norm,Education,Education Norm,Experience,Experience Norm,Growth,Growth Norm,Resilience,Resilience Norm,Stability,Stability Norm,Ubiquity,Ubiquity Norm,Value,Value Norm,SSG_Skill,SSG_ID
High Demand,High Difficulty,High Growth,13,ESF9555E9025E26E0C3B,business negotiation,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Strategy,Business,High Value,Business,0.434745685,0.321173804,2260.75,0.003581547,0.492987243,0.492987243,1.919092,0.611786241,5.630761,0.546001684,1.157046365,0.099454094,0.417778875,0.417778875,59,0.728395062,50.25,0.107162687,"$67,800 ",0.295004713,['business negotiation'],['47bdf7819b28e15423dbe3ab2c1b43130742cf901d7446fdb4b8b7e7f64ff23b']
High Demand,Low Difficulty,High Growth,14,KS1219570C4LCP9ND4FH,business planning,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Operations,Business,High Value,Business,-0.038113747,0.271321205,15336.25,0.024344359,0.453125915,0.453125915,1.645274,0.523151349,5.781084,0.564905191,1.032689567,0.087147608,0.509850495,0.509850495,66,0.814814815,94.25,0.204886174,"$78,000 ",0.359095193,['business planning'],['b749b5ef764db258b2ba75b29d384bf6946e69005f7d0c0ad8fa86ae6082eed2']
High Demand,High Difficulty,Low Growth,15,KS1218Y74WJ6YV4KH0DM,business process,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Operations,Business,High Value,Business,0.903023374,0.370543359,35093,0.055716442,0.485337243,0.485337243,1.771162,0.563901297,5.436454,0.521567074,0.95597999,0.079556344,0.475034446,0.475034446,60,0.740740741,96.25,0.209328151,"$81,000 ",0.377945335,['business process analysis'],['bb5636fe8117d1cab0cc20612e1217f006235d4770cd62a2784a96c305367a02']
High Demand,High Difficulty,Low Growth,16,KS1215M77JN57WSTPF3L,business process management,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Operations,Business,High Value,Business,2.291900661,0.516969838,1209.75,0.001912646,0.553327129,0.553327129,1.764885,0.561869432,5.910202,0.581142115,0.804476505,0.064563393,0.301115293,0.301115293,41,0.50617284,45.25,0.096057746,"$84,000 ",0.396795476,['business process management'],['4e557d7a05d63c559a3408919485539f9c0b35f1a932a5a461e0ad12c1ee1f95']
High Demand,High Difficulty,Low Growth,17,KS121T569X502KJPS0F3,change management,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Management,Business,High Value,Business,1.06897891,0.38803971,30505.25,0.048431475,0.521856827,0.521856827,1.805897,0.575145018,6.079134,0.602385753,0.952852937,0.079246888,0.515207601,0.515207601,63,0.777777778,115.75,0.252637424,"$84,000 ",0.396795476,['change management'],['7be96c1162c0c7bc643053b3c7b9fe0e49092717ec73e1ddcb842c6b3b95a932']
High Demand,Low Difficulty,High Growth,18,KS1228S6XKXWJ8SR7JYX,conflict management,High Resilience,Business,"Business, Finance, and Marketing",13,13,People Management,Business,High Value,Business,0.154136116,0.291589713,2278.25,0.003609336,0.437217307,0.437217307,1.437544,0.455909144,5.775103,0.564153065,1.288045211,0.112417883,0.329857898,0.329857898,39,0.481481481,82.25,0.178234314,"$60,000 ",0.245994345,['conflict management'],['d3df0b62b5e370177927470dc16e44900a48756ac37296e0016b320bb0521c68']
Low Demand,Low Difficulty,High Growth,19,ESB86D2F388953738EC4,business law,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Regulation and Legal Compliance,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",0.848582293,0.364803747,82.75,0.000123064,0.428120518,0.428120518,1.842691,0.587055236,3.93299,0.33250257,1.103692543,0.094174141,0.112026241,0.112026241,15,0.185185185,19.5,0.038867296,"$54,000 ",0.208294062,['corporate and business law'],['34b057ab3284c8daf6d72c8da1337647d5a942940c00414830a0a6f1466549a5']
Low Demand,High Difficulty,High Growth,20,ES37E984383FEE116599,disruptive innovation,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Business Strategy,Business,High Value,Business,2.512716197,0.540249967,67,9.81E-05,0.570140118,0.570140118,2.102425,0.671131137,5.25731,0.49903925,1.009938635,0.084896151,0.073878709,0.073878709,9,0.111111111,18.5,0.036646308,"$120,000 ",0.622997172,['disruption management'],['ac955ea07555fdb76c26c1741c7c7629f02cb2ae7e64833dd1ce5edce96f9c04']
High Demand,High Difficulty,High Growth,21,KS1219462WRQNHNTPZ7G,business partnering,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Strategy,Business,High Value,Business,0.543837178,0.332675096,5923,0.009396897,0.515101479,0.515101479,1.874068,0.597211972,6.182763,0.615417369,1.034974518,0.087373729,0.410625784,0.410625784,60,0.740740741,38.25,0.080510827,"$75,000 ",0.340245052,"['finance business partnering', 'business relationship building', 'service partnerships']","['c619c2cbd9aa47cd0363296071fdcc79537d7268811b930f7dd1411393b5b7b2', '3544b5d5c1f879b16e66000c136ef4c86024a7fdd186c7b163f6568b4e6668c7', '0c0905aa03a160325bc8721681d5deefe9b3f1798680e52760432d1253e93338']"
Low Demand,High Difficulty,High Growth,22,ES8F9C48DADDB3E32C77,financial law,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Regulation and Legal Compliance,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",1.160443137,0.397682596,140,0.000213972,0.558268553,0.558268553,1.920112,0.612116415,6.577103,0.665006649,1.215695654,0.105258092,0.277925158,0.277925158,43,0.530864198,13.25,0.024986119,"$99,000 ",0.491046183,['financial crime laws and regulations'],['960b123529b3cc54a4e09bb2ce620f8fb05f76e952ccbfd27229df2251e50e11']
High Demand,Low Difficulty,High Growth,23,ESE2D5EA264FB06F5C4F,information gathering,High Resilience,Public Safety and National Security,"Law, Regulation, and Safety",21,21 & 23,Intelligence Collection and Analysis,"Education, Law, and Community",Low Value,Public Safety and National Security,0.210314252,0.297512459,6462,0.010252785,0.336541459,0.336541459,1.18752,0.37497637,3.969832,0.337135547,1.075709267,0.091404885,0.561145728,0.561145728,65,0.802469136,146,0.319822321,"$50,400 ",0.185673893,"['information gathering and analysis', 'information collection']","['bf97a250074eab2b089d61794edf4868c557383aba42f365c4372b90df768470', 'd861d3243414561d57b134baf8471396991ea332a436ba8130cfe97435fc325e']"
Low Demand,Low Difficulty,High Growth,24,ES81B4A6C64FEA919465,litigation support,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Legal Support,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",0.941909999,0.374643096,309.75,0.000483521,0.407130477,0.407130477,1.816642,0.578623174,3.421053,0.268125162,1.054609791,0.089316858,0.240137509,0.240137509,34,0.419753086,29.25,0.060521932,"$51,000 ",0.189443921,['litigation support'],['884b947daebb1b65eaada176645bda3488f4c35d888e717a752fda1cb2508cfb']
High Demand,High Difficulty,Low Growth,25,KS1262F6LB0H1YGFYV0T,macroeconomics,High Resilience,"Economics, Policy, and Social Studies",Social Sciences and Services,21,21 & 23,Economics,"Education, Law, and Community",High Value,"Economics, Policy, and Social Studies",1.446172659,0.427806472,713,0.001123848,0.582238593,0.582238593,2.412896,0.771630606,5.640916,0.547278701,0.848271278,0.068897372,0.411736278,0.411736278,60,0.740740741,39.25,0.082731816,"$90,000 ",0.434495759,['macroeconomic analysis'],['daf8a393cd8e0e66cd7975ff68c01a90e701f6999c8f150c403d9e70ac66450d']
High Demand,Low Difficulty,High Growth,26,ES6C29DABFE2921A7EA3,management reporting,High Resilience,Finance,"Business, Finance, and Marketing",13,13,Financial Reporting,Business,Low Value,Finance,-0.531207571,0.219335336,27987.75,0.044433894,0.366562494,0.366562494,1.477658,0.468894047,4.560854,0.411458099,1.137363779,0.097506283,0.410104811,0.410104811,52,0.641975309,82.25,0.178234314,"$54,000 ",0.208294062,['management decision making'],['26c9e60dba512cf50bf3dcbf76c8f17354df5f094570f3586600337932337cef']
High Demand,High Difficulty,High Growth,27,ES8E36C07FC9A2BCEE10,sustainability reporting,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Process Improvement and Optimization,Business,High Value,Business,1.373354166,0.420129368,1078,0.001703438,0.492083895,0.492083895,1.86832,0.595351344,4.952996,0.460770974,1.490646954,0.132467574,0.129941528,0.129941528,13,0.160493827,46.75,0.099389228,"$72,000 ",0.32139491,"['non-financial reporting', 'impact indicators, measurement and reporting', 'sustainability reporting']","['6ed2412689c66a0dc036a1347dd89cff2cd0d3378bffe921b80ce17ddb844a51', '74d2e3495e2f55a9a1d2b13886c3ece189c3d730c01d0a1dae0fba224abbbfba', 'ba4e1270913f2e69c26696f4e8aa67a772f3669bb5f615f100268416086c6ae0']"
High Demand,Low Difficulty,High Growth,28,KS123HX6YG0PPBXV3922,performance management,High Resilience,Business,"Business, Finance, and Marketing",13,13,Performance Management,Business,High Value,Business,-0.231276781,0.250956423,20272.25,0.032182318,0.412978929,0.412978929,1.441488,0.457185817,5.509832,0.530794548,1.06280918,0.090128278,0.5010488,0.5010488,63,0.777777778,103,0.224319822,"$64,800 ",0.276154571,"['performance management', 'cabin crew performance management', 'people and performance management', 'department performance management', 'workplace performance diagnosis']","['b4118417c7c95342098bca14f6c6ce78a98b44ca3bf7c778634ba9b7f52f8961', '9b70cc3983d9ddfa2f79662d9fd3f4ea1d2da6c003616846d9bb556aedf605f9', '1e57a176c16574086f08c167b6a54fd9cec8f3e46559e264584c14364132882a', 'f7d327ce21fe195c6485b0a3b0d001aa813445816916838026088dadc6d5f9c0', 'ef1aa11a19478f20f6f07689c2d2aa5fed24f48843d8313a9e938e131cf0246d']"
Low Demand,Low Difficulty,High Growth,29,KS123987840L8J17862K,evidence-based practice,High Resilience,Health Care,Health Care,29,29,Health Care Procedure and Regulation,Health,Low Value,Health Care,-0.62035333,0.209936882,290,0.000452159,0.394132313,0.394132313,1.921989,0.612724,4.149554,0.359736055,1.348014142,0.118352474,0.349713122,0.349713122,54,0.666666667,16.75,0.032759578,"$57,060 ",0.227521206,"['professional scepticism and judgment', 'practitioner inquiry', 'research into professional practice translation']","['fe83a41d681b13b5fca540e72d551cfcf10151e87257941c342d349998184916', 'e6be59183bf8edb50b4712892d9cf7a835e77408f979320a11db23112d4c1b48', '7c54d8ea6bec24d196e615542ee9a8564789d7794414b0f79542d2a6f1ee5dca']"
High Demand,Low Difficulty,High Growth,30,ESD45EAB54A83A5255D6,ethical standards and conduct,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Regulation and Legal Compliance,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",-0.858289655,0.184851744,29102.5,0.046204024,0.365396725,0.365396725,1.235171,0.390401,5.431447,0.52093743,1.097674041,0.093578543,0.726362583,0.726362583,74,0.913580247,244.75,0.539144919,"$57,300 ",0.229029218,"['professional standards', 'ethical culture', 'ethical and professional integrity']","['bbb5084681637a748dfd543027f79106847beee2dfff68168e2104029f9f4484', 'c5e0703a3b9d75348c43df85462fa4bf1695a82ed7a143b6e0c52b6174888de8', '1aa52b5b13fe1afbaaa48bd1cbeb21522651e833267a5f5d38220ecdec26d9cf']"
High Demand,High Difficulty,High Growth,31,KSAJ9BHUP0ONIDN2ABOI,implement projects,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Project Management,Business,High Value,Business,1.653644834,0.449679837,1321.25,0.002089699,0.470636413,0.470636413,1.676039,0.53310998,4.701299,0.429119422,1.40698943,0.124188734,0.265205887,0.265205887,31,0.382716049,68.5,0.147695725,"$60,000 ",0.245994345,['project execution and control'],['3b5cd62c2e963d45ad91edd913b63c6b200d002216c6335ec8d1e7e22fd0b696']
High Demand,High Difficulty,High Growth,32,KS123B265CFH0RN8JB93,feasibility studies,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Operations,Business,High Value,Business,1.287038429,0.411029277,7948,0.01261243,0.50547443,0.50547443,1.929324,0.61509834,5.18778,0.490295672,1.147986155,0.098557485,0.442014382,0.442014382,56,0.691358025,88.75,0.192670738,"$64,800 ",0.276154571,['project feasibility assessment'],['56ee2681e2236fb9403c293ce0df9a271b36a0f57773201c3ea31939fbd987dc']
High Demand,Low Difficulty,High Growth,33,KS1267F6MSPN366LX7ST,project management,High Resilience,Business,"Business, Finance, and Marketing",13,13,Project Management,Business,High Value,Business,0.05230042,0.280853385,205641.25,0.326532946,0.437102368,0.437102368,1.760127,0.560329268,5.027376,0.470124452,1.021700309,0.086060099,0.684636793,0.684636793,77,0.950617284,190.5,0.418656302,"$61,800 ",0.25730443,['project management'],['5a7c3011cba026a3ec113edc43b7dcbb8a6227cf735ac9a88e14ea9321a676a4']
High Demand,High Difficulty,High Growth,34,KS440XG6F9DTD3VG7JTV,stakeholder management,High Resilience,Business,"Business, Finance, and Marketing",13,13,Project Management,Business,High Value,Business,0.483293907,0.326292143,33456.75,0.053118213,0.520906352,0.520906352,1.931687,0.615863243,6.223687,0.620563668,1.009819634,0.084884375,0.574242019,0.574242019,70,0.864197531,130,0.284286507,"$90,000 ",0.434495759,"['stakeholder management', 'business stakeholder management']","['0e7e59863b4d5fe6668569c84cda95a7a40fb8b1cf8b938acf90b58c47eb280b', 'e490bb07cdd6037947948ee6f815b6ac5b497f1abfe0f8e5833e7ef357ec047c']"
High Demand,High Difficulty,High Growth,35,KS4415S6Q3Q6JPVT2P33,systems thinking,High Resilience,Physical and Inherent Abilities,Physical and Inherent Abilities,50,50,Personal Attributes,Abilities,High Value,Physical and Inherent Abilities,1.485927549,0.431997749,1757.25,0.002782031,0.570833028,0.570833028,2.013732,0.642421211,6.36298,0.638080125,1.112550635,0.095050747,0.332829498,0.332829498,42,0.518518519,68.25,0.147140478,"$84,000 ",0.396795476,['systems thinking application'],['9afef50106f0a6d5fddc273ca9c7bfacfb8da89b853e537652f3fb9fa241c6db']
High Demand,Low Difficulty,High Growth,36,KS12043750BK3KLG30B5,accounting systems,High Resilience,Finance,"Business, Finance, and Marketing",13,13,General Accounting,Business,Low Value,Finance,0.435283831,0.32123054,2200.5,0.003485875,0.389303877,0.389303877,1.592738,0.506145445,3.99687,0.340535646,1.185044765,0.102224846,0.46069399,0.46069399,70,0.864197531,27.75,0.05719045,"$43,800 ",0.144203582,['accounting and tax systems'],['4bf08c0d8ca7c4a02492f859c524107e81fd58422087dbce9c1f0ba4093df453']
High Demand,High Difficulty,High Growth,37,ES87B682DC7D4241774A,cyber security policies,Low Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Cybersecurity,IT,High Value,Information Technology,2.368409191,0.525035975,598.5,0.000942032,0.553214891,0.553214891,1.852818,0.590333346,5.617033,0.544275352,1.221648079,0.10584715,0.239517141,0.239517141,33,0.407407407,34.25,0.071626874,"$90,000 ",0.434495759,['cybersecurity'],['64a1e1972b663b35a8c06b453ce018251efef00925fb414217f6087f179031b8']
Low Demand,High Difficulty,High Growth,38,ES288C478F1073B8C1A0,smart factory,Low Resilience,Manufacturing and Production,Manufacturing and Production,47,47,Manufacturing Processes,"Science, Engineering, and Manufacturing",High Value,Manufacturing and Production,2.505914519,0.53953288,418.5,0.000656207,0.507494683,0.507494683,1.864779,0.594205122,4.380245,0.388746048,1.062072927,0.090055418,0.198185507,0.198185507,25,0.308641975,41.5,0.087729039,"$63,000 ",0.264844486,['big data analytics'],['b82974e8dd5683bce8776f6dd5f16b8950445ca4eee42e548277220644c911bd']
High Demand,High Difficulty,Low Growth,39,KS122P378DGNVX4NKQKN,data governance,High Resilience,Data Management and Analytics,Information Technology,15,15,Data Management,IT,High Value,Information Technology,1.449966239,0.428206422,6255.5,0.00992488,0.534372008,0.534372008,1.940025,0.618562254,5.713031,0.55634735,0.948847831,0.078850538,0.379158355,0.379158355,50,0.617283951,65.5,0.14103276,"$93,000 ",0.4533459,['data governance'],['4dae64164cf1bcc46f80ac33767167362931ca0aa5215134134e05b1768e973b']
Low Demand,High Difficulty,Low Growth,40,ES982FDA4CA23E7A3D3F,data storytelling,Low Resilience,Data Management and Analytics,Information Technology,15,15,Data Visualization,IT,High Value,Analysis,2.294919664,0.517288126,362.5,0.000567283,0.515460161,0.515460161,1.986528,0.633615276,4.433771,0.395477081,0.989947798,0.082917836,0.121187817,0.121187817,15,0.185185185,27.75,0.05719045,"$78,000 ",0.359095193,"['data storytelling and visualisation', 'data visualisation and storyboarding']","['51f7f2846ed141defda0b9cc0645cb131bac6e7e8bf2da3dc69b0481ca86687a', '0dd6566ace51c849af30494fd61aec759df18d78ef73b7ded5e5d6a2c032278b']"
High Demand,High Difficulty,Low Growth,41,KS122YG760DVCXPRHHJ6,digital forensics,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Criminal Investigation and Forensics,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",2.152454506,0.502268317,897.5,0.001416819,0.499725129,0.499725129,1.657943,0.527252305,5.023641,0.469654766,0.91757212,0.075755459,0.26976097,0.26976097,37,0.456790123,39.25,0.082731816,"$99,000 ",0.491046183,"['digital forensics', 'cyber forensics']","['705dd3f93bc89e516e1a09434da81186c6351529d08b2ae0cb0d4931e0d4d323', 'a14807f4ca42fb9456c6246d01eec1cddd34c0b48e7bf528f6b2055b2b4dcf48']"
High Demand,High Difficulty,Low Growth,42,ESC80C5E846C65F847EB,digital transformation,High Resilience,System and IT Infrastructure,Information Technology,15,15,IT Management,IT,High Value,Information Technology,1.483989468,0.431793421,9329.75,0.014806534,0.555018656,0.555018656,1.900805,0.605866739,6.278017,0.627395807,0.918756137,0.075872631,0.428002961,0.428002961,54,0.666666667,87.25,0.189339256,"$88,200 ",0.423185674,['digital technology adoption and innovation'],['693528acafb25231023b3d0615a78217fb2796f3cffbc286ddae30a835f0b5a3']
High Demand,High Difficulty,High Growth,43,ESC1166A9FAE0B23BDCA,emerging technologies,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Solutions,Business,High Value,Business,1.733267822,0.458074326,9737.75,0.015454404,0.537054697,0.537054697,1.802849,0.57415838,5.892622,0.578931385,1.174258393,0.101157415,0.463456516,0.463456516,57,0.703703704,102.5,0.223209328,"$84,000 ",0.396795476,"['technology scanning', 'emerging technology synthesis']","['a970f6ec1a3b9a0f360f09d5b6e8126609dec3eae815b88677c4a0560953cd7b', 'cad3205d9875d5944e0016387a256e9d3980138750de404e84095dd27996c37d']"
High Demand,High Difficulty,Low Growth,44,KS122J074GKGZX9XJWHJ,forensic sciences,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Criminal Investigation and Forensics,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",1.466921583,0.429993989,1634,0.00258632,0.489423556,0.489423556,1.843804,0.587415514,4.874192,0.450861166,0.861198904,0.070176704,0.304316532,0.304316532,39,0.481481481,59.25,0.127151582,"$84,000 ",0.396795476,['evidence management'],['4a20c82f04332861968e2f25410172cc653c2c2120a11ff5d041cb72cfe79ed4']
Low Demand,High Difficulty,Low Growth,45,KS1242176RW37JQVC0YW,forensic accounting,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Criminal Investigation and Forensics,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",1.360517387,0.418776013,246.5,0.000383085,0.47908948,0.47908948,1.933008,0.616290851,4.487245,0.402201576,0.941287382,0.078102348,0.218075006,0.218075006,32,0.395061728,20.5,0.041088284,"$63,600 ",0.268614515,['forensic data analytics'],['c667fabc1c330d2cf347a0886766788c97674fd4385db6fb81c06f8d9fc39f59']
